cofid_code,energy_kcal,protein_g,fat_g,carbs_g,fibre_g,sugar_g,salt_g
11-001,355.0,0.4,0.1,94.0,0.1,0.0,0.0125
11-002,360.0,7.9,1.7,83.6,,0.0,0.0075
11-003,120.0,2.7,0.6,27.6,,0.0,0.0025
11-006,364.0,8.1,1.5,84.9,2.1,0.4,0.0025
11-011,368.0,9.4,3.3,73.1,2.2,,0.0
11-016,354.0,5.8,1.7,75.4,,,0.052500000000000005
11-021,366.0,6.4,0.8,80.1,2.0,,0.0125
11-023,355.0,0.2,0.2,94.0,0.5,0.0,0.0075
11-027,359.0,0.4,0.1,95.0,0.4,0.0,0.01
11-1000,253.0,5.6,13.3,29.4,,5.4,0.6575
11-1001,267.0,9.7,2.0,56.2,3.0,4.1,1.225
11-1003,224.0,8.7,2.2,45.1,4.8,3.5,0.925
11-1004,266.0,10.4,2.6,53.7,5.7,4.2,1.1
11-1005,349.0,4.0,11.1,61.5,1.5,49.6,0.3325
11-1006,254.0,9.3,2.6,51.5,2.6,2.6,1.0
11-1007,190.0,2.1,9.1,26.7,1.7,15.7,0.165
11-1008,262.0,3.1,15.1,30.4,1.7,12.0,0.2725
11-1009,280.0,8.0,5.6,52.6,2.9,16.0,0.5750000000000001
11-1010,421.0,7.2,25.9,42.3,6.1,1.0,0.555
11-1011,226.0,13.3,7.5,28.0,,2.0,1.0
11-1012,246.0,13.4,8.3,31.3,2.7,2.1,0.95
11-1013,260.0,13.5,8.6,34.4,2.5,3.1,1.0
11-1014,216.0,10.8,6.9,29.6,3.1,2.4,0.8250000000000001
11-1015,255.0,13.2,10.3,29.1,2.0,1.8,1.1
11-1016,290.0,7.8,4.8,57.5,2.5,3.4,1.0
11-1017,435.0,5.7,25.5,48.8,2.4,0.5,0.555
11-1019,368.0,7.9,3.8,80.7,5.7,22.4,0.8250000000000001
11-1020,219.0,2.4,8.3,36.0,2.3,21.8,0.20500000000000002
11-1021,265.0,3.1,9.1,45.4,0.8,25.8,0.8500000000000001
11-1022,285.0,3.0,6.9,56.3,4.0,46.2,0.25
11-1023,570.0,0.3,39.0,58.2,0.9,2.2,1.9175
11-1024,198.0,1.8,9.2,29.0,2.1,18.0,0.165
11-1025,268.0,2.9,15.2,32.1,2.4,13.6,0.2725
11-1026,190.0,2.3,7.7,29.9,2.8,18.0,0.1625
11-1027,254.0,3.6,12.7,33.6,3.7,13.7,0.27
11-1028,454.0,6.9,30.4,40.8,1.5,22.7,0.53
11-1029,331.0,4.4,12.4,53.9,1.4,36.3,0.42750000000000005
11-1030,266.0,9.3,1.7,56.8,1.0,3.1,0.2775
11-1032,471.0,6.2,22.1,66.0,2.0,26.4,0.5025000000000001
11-1034,369.0,12.7,7.5,66.6,9.2,4.2,0.17250000000000001
11-1035,564.0,3.4,37.1,57.8,1.2,,0.8375
11-1036,489.0,2.8,22.5,72.1,1.2,50.1,0.68
11-1037,137.0,6.3,5.3,17.0,0.3,12.4,0.325
11-1038,289.0,5.9,7.7,48.0,1.2,33.3,0.595
11-1041,346.0,4.0,21.1,37.7,1.5,23.7,0.535
11-1043,361.0,7.8,12.5,57.8,1.6,21.0,0.34750000000000003
11-1044,398.0,5.0,14.4,66.5,1.2,40.0,0.5675
11-1045,354.0,0.6,0.7,92.0,0.1,0.0,0.027499999999999997
11-1046,438.0,7.3,24.1,51.3,1.8,28.5,0.8775
11-1047,452.0,5.8,25.2,53.8,1.4,35.7,0.8350000000000001
11-1048,203.0,5.5,11.8,20.2,1.0,0.2,0.33
