cofid_code,name,category,base_unit
11-001,Arrowroot,AA,g
11-002,"Barley, pearl, raw",AA,g
11-003,"Barley, pearl, boiled",AA,g
11-006,"Buckwheat, groats",AA,g
11-011,"Cornmeal, sifted",AA,g
11-016,"Flour, millet, foxtail",AA,g
11-021,"Flour, rice",AA,g
11-023,"Sago, raw",AA,g
11-027,"Tapioca, raw",AA,g
11-1000,"Stuffing, sage and onion, homemade",AT,g
11-1001,"Bread, white, toasted",AF,g
11-1003,"Bread, white, 'with added fibre'",AF,g
11-1004,"Bread, white, 'with added fibre', toasted",AF,g
11-1005,"Cake, fruit, rich, homemade",AN,g
11-1006,"Bread rolls, white, soft",AF,g
11-1007,"Pie, fruit, one crust, homemade",AS,g
11-1008,"Pie, fruit, pastry top and bottom, homemade",AS,g
11-1009,"Currant buns, retail",AF,g
11-1010,"Pastry, wholemeal, uncooked, homemade",AO,g
11-1011,"Pizza, fish topped, takeaway",AE,g
11-1012,"Pizza, chicken topped, retail",AE,g
11-1013,"Pizza, ham and pineapple, retail",AE,g
11-1014,"Pizza, vegetarian, retail and takeaway",AE,g
11-1015,"Pizza, meat topped, retail and takeaway",AE,g
11-1016,"Pizza base, raw",AE,g
11-1017,"Pastry, shortcrust, uncooked, homemade",AO,g
11-1019,"Breakfast cereal, multigrain hoops, fortified",AI,g
11-1020,"Crumble, fruit, retail",AS,g
11-1021,"Pudding, sponge, canned",AS,g
11-1022,"Pudding, Christmas, retail",AS,g
11-1023,"Prawn crackers, takeaway",AT,g
11-1024,"Pie, apple, one crust, homemade",AS,g
11-1025,"Pie, apple, pastry top and bottom, homemade",AS,g
11-1026,"Pie, apple, wholemeal, one crust, homemade",AS,g
11-1027,"Pie, apple, wholemeal, pastry top and bottom, homemade",AS,g
11-1028,"Tart, bakewell, homemade",AS,g
11-1029,"Banana bread, homemade",AN,g
11-1030,"Bannocks, made with beremeal, homemade",AF,g
11-1032,"Biscuits, plain, homemade",AM,g
11-1034,"Biscuits, wholemeal, homemade",AM,g
11-1035,"Biscuits, melting moments, homemade",AM,g
11-1036,"Brandy snaps, homemade",AM,g
11-1037,"Pudding, bread and butter, homemade",AS,g
11-1038,"Bread pudding, homemade",AS,g
11-1041,"Cake, carrot, with topping, homemade",AN,g
11-1043,"Chelsea buns, homemade",AP,g
11-1044,"Cake, cherry, homemade",AN,g
11-1045,"Flour, corn",AA,g
11-1046,"Cake, chocolate, not filled, homemade",AN,g
11-1047,"Cake, chocolate, with butter icing, homemade",AN,g
11-1048,"Pastry, choux, uncooked, homemade",AO,g
11-1049,"Pastry, choux, cooked, homemade",AO,g
11-1050,"Choux buns, homemade",AP,g
11-1051,"Pudding, Christmas, homemade",AS,g
11-1052,"Pastry, shortcrust, cooked, homemade",AO,g
11-1053,"Cake, coconut, homemade",AN,g
11-1055,"Crumble, apple, homemade",AS,g
11-1056,"Crumble, fruit, homemade",AS,g
11-1057,"Crumble, with pie filling, homemade",AS,g
11-1058,"Tart, custard, large, homemade",AP,g
11-1060,"Biscuits, oat based, chocolate, half coated",AM,g
11-1064,"Pastries, chocolate eclairs, fresh, homemade",AP,g
11-1065,"Pudding, Eve's pudding, homemade",AS,g
11-1066,"Flan case, pastry, homemade",AS,g
11-1067,"Flan case, sponge, homemade",AS,g
11-1069,"Flan, pastry, with fruit, homemade",AS,g
11-1070,"Flan, sponge, with fruit, homemade",AS,g
11-1071,"Flapjacks, homemade",AM,g
11-1072,"Cake, fruit, wholemeal, homemade",AN,g
11-1073,"Pie, fruit, pastry top and bottom, blackcurrant, homemade",AS,g
11-1074,"Pie, fruit, wholemeal, pastry top and bottom, blackcurrant, homemade",AS,g
11-1075,"Pie, fruit, wholemeal, one crust, homemade",AS,g
11-1076,"Pie, fruit, wholemeal, pastry top and bottom, homemade",AS,g
11-1077,"Pie, fruit, wholemeal, with pie filling, homemade",AS,g
11-1078,"Pie, fruit, with pie filling, homemade",AS,g
11-1079,"Gingerbread, homemade",AN,g
11-1081,"Gulab jamen/jambu, homemade",AP,g
11-1083,"Gulab jamen/jambu, retail",AP,g
11-1084,"Hot cross buns, homemade",AP,g
11-1085,"Tarts, jam, homemade",AP,g
11-1086,"Tarts, jam, wholemeal, homemade",AP,g
11-1088,"Jellabi, homemade",AP,g
11-1090,"Cake, lardy, homemade",AN,g
11-1091,"Milk bread, homemade",AF,g
11-1092,"Mince pies, homemade, individual",AP,g
11-1093,"Tart, mincemeat, one crust, homemade",AP,g
11-1094,"Muffins, American style, chocolate chip, homemade",AN,g
11-1095,"Muffins, bran, homemade",AP,g
11-1096,"Noodles, egg, fried with spring onions, homemade",AD,g
11-1097,"Pudding, Queen of Puddings, homemade",AS,g
11-1100,"Oatcakes, homemade",AM,g
11-1101,"Pakoras, homemade",AT,g
11-1102,"Pancakes, savoury, made with skimmed milk, homemade",AT,g
11-1103,"Pancakes, savoury, wholemeal, made with whole milk, homemade",AT,g
11-1104,"Paratha, homemade",AF,g
11-1105,"Pinni, homemade",AP,g
11-1106,"Porridge, made with milk and water",AI,g
11-1107,"Porridge, made with water",AI,g
11-1108,"Porridge, made with whole milk",AI,g
11-1109,"Rock cakes, homemade",AN,g
11-1111,"Rum baba, homemade",AP,g
11-1112,"Scones, cheese, homemade",AP,g
11-1113,"Scones, potato, homemade",AP,g
11-1114,"Scones, wholemeal, homemade",AP,g
11-1115,"Scones, fruit, wholemeal, homemade",AP,g
11-1116,"Scotch pancakes, homemade",AP,g
11-1117,"Bread, soda, made with white flour, homemade",AF,g
11-1118,"Cake, sponge, with butter icing, homemade",AN,g
11-1119,"Pudding, sponge, homemade",AS,g
11-1120,"Pudding, sponge, with dried fruit, homemade",AS,g
11-1121,"Pudding, sponge, with jam or treacle, homemade",AS,g
11-1122,"Pudding, spotted dick, homemade",AS,g
11-1123,"Tartlets, strawberry, homemade",AP,g
11-1124,"Pudding, suet, homemade",AS,g
11-1125,"Cake, Swiss roll, homemade",AN,g
11-1126,"Treacle tart, homemade",AS,g
11-1127,"Brownies, chocolate, homemade",AN,g
11-1128,"Flapjacks, retail, chocolate covered",AM,g
11-1129,"Pasta, white, dried, boiled in unsalted water",AD,g
11-1130,"Waffles, homemade",AP,g
11-1131,"Welsh cakes, homemade",AN,g
11-1132,"Welsh cheesecakes, homemade",AP,g
11-1134,"Crackers, wholemeal, homemade",AM,g
11-1135,"Yorkshire pudding, made with skimmed milk, homemade",AT,g
11-1136,"Bread, brown, toasted",AF,g
11-1137,"Bread, white, sliced, fried in rapeseed oil",AF,g
11-1138,Custard powder,AA,g
11-1139,"Pastry, flaky, cooked, homemade",AO,g
11-1140,"Pastry, flaky, uncooked, homemade",AO,g
11-1141,"Pancakes, sweet, made with skimmed milk, homemade",AS,g
11-1142,"Pancakes, sweet, made with whole milk, homemade",AS,g
11-1143,"Pancakes, sweet, made with semi skimmed milk, homemade",AS,g
11-1144,"Bread rolls, brown, crusty",AF,g
11-1145,"Bread, white, average",AF,g
11-1146,"Yorkshire pudding, made with whole milk",AT,g
11-230,"Pastries, Asian",AP,g
11-444,"Rice, egg fried, takeaway",AC,g
11-450,"Pasta, plain, fresh, boiled",AD,g
11-459,"Chapatis, made without fat",AF,g
11-462,"Bread, malt, fruited",AF,g
11-526,"Gateau, chocolate based, frozen",AN,g
11-527,"Cake, chocolate fudge",AN,g
11-530,"Gateau, fruit, frozen",AN,g
11-532,"Cake, sponge, with dairy cream and jam, frozen",AN,g
11-541,"Muffins, English style, white",AP,g
11-542,"Muffins, English style, white, toasted",AP,g
11-544,"Scotch pancakes, retail",AP,g
11-548,"Pie, lemon meringue, retail",AS,g
11-715,"Pasta, egg, white, dried, raw",AD,g
11-716,"Pasta, white, dried, raw",AD,g
11-717,"Pasta shapes, coloured, flavoured, dried, raw",AD,g
11-718,"Pasta, wholewheat, spaghetti, dried, raw",AD,g
11-719,"Noodles, egg, dried, raw",AD,g
11-720,"Pasta, white,  twists, fusilli, dried, boiled in unsalted water",AD,g
11-721,"Pasta, white, twists, fusilli, dried, boiled in salted water",AD,g
11-722,"Pasta, white, spaghetti, dried, boiled in unsalted water",AD,g
11-723,"Pasta, wholewheat, spaghetti, dried, boiled in unsalted water",AD,g
11-724,"Noodles, egg, medium, dried, boiled in unsalted water",AD,g
11-725,"Noodles, rice, fine, dried, boiled in unsalted water",AD,g
11-726,"Pasta, egg, fresh, raw",AD,g
11-727,"Pasta, egg, white, tagliatelle, fresh, boiled in unsalted water",AD,g
11-728,"Pasta, egg, fresh, filled with cheese only, boiled in unsalted water",AD,g
11-729,"Pasta, egg, fresh, filled with cheese and tomato, boiled in unsalted water",AD,g
11-730,"Pasta, egg, fresh, filled with mushrooms, boiled in unsalted water",AD,g
11-731,"Pasta, egg, fresh, filled with green vegetables/herbs and cheese, boiled in unsalted water",AD,g
11-732,"Pasta, egg, fresh, filled with meat, boiled in unsalted water",AD,g
11-734,"Pasta and sauce mixes, dried, raw",AD,g
11-735,"Pasta, spaghetti, canned, in tomato sauce",AD,g
11-736,"Pasta, ravioli, meat filling, canned in tomato sauce",AD,g
11-737,"Muffins, American, chocolate, retail",AN,g
11-738,"Muffins, American, not chocolate, retail",AN,g
11-739,Jaffa cakes,AM,g
11-740,"Cake bars, chocolate",AN,g
11-742,"Breakfast cereal, cornflakes, fortified",AI,g
11-745,"Breakfast cereal, cornflakes, unfortified",AI,g
11-746,"Breakfast cereal, cornflakes, crunchy / honey nut coated, fortified",AI,g
11-749,"Breakfast cereal, cornflakes, frosted, fortified",AI,g
11-750,"Breakfast cereal, rice, toasted/crisp, fortified",AI,g
11-753,"Breakfast cereal, rice, chocolate flavoured, fortified",AI,g
11-754,"Breakfast cereal, Ricicles, Kellogg's",AI,g
11-755,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified",AI,g
11-756,"Breakfast cereal, puffed wheat, unfortified",AI,g
11-757,"Breakfast cereal, puffed wheat, honey coated, fortified",AI,g
11-760,"Breakfast cereal, malted flake, fortified",AI,g
11-761,"Breakfast cereal, malted wheat, fortified",AI,g
11-762,"Breakfast cereal, wheat and multigrain, chocolate flavoured, fortified",AI,g
11-763,"Breakfast cereal, bran flakes, fortified",AI,g
11-767,"Breakfast cereal, bran type cereal, fortified",AI,g
11-773,"Breakfast cereal, wheat biscuits, Weetabix type, fortified",AI,g
11-774,"Breakfast cereal, wheat biscuits, Weetabix type, unfortified",AI,g
11-775,"Breakfast cereal, shredded wheat type, unfortified",AI,g
11-777,"Breakfast cereal, shredded wheat type with fruit, unfortified",AI,g
11-778,"Breakfast cereal, Shredded Wheat, honey nut, Nestle",AI,g
11-779,"Breakfast cereal, fruit and fibre type, fortified",AI,g
11-780,"Muesli, Swiss style, unfortified",AI,g
11-781,"Muesli, Swiss style, no added sugar or salt, unfortified",AI,g
11-788,"Porridge oats, unfortified",A,g
11-789,"Porridge oats, unfortified, cooked, made up with semi-skimmed milk",A,g
11-792,"Breakfast cereal, instant hot oat, plain, raw, fortified",AI,g
11-793,"Breakfast cereal, oat, instant, plain, fortified, cooked, made up with semi-skimmed milk",AI,g
11-795,"Breakfast cereal, Oat, instant, flavoured, unfortified, made up with semi-skimmed milk",AI,g
11-796,"Biscuits, short, sweet",AM,g
11-797,"Biscuits, semi-sweet",AM,g
11-798,"Biscuits, ginger nuts",AM,g
11-799,"Biscuits, digestive, plain",AM,g
11-800,"Wafers, plain ice cream wafers, not filled",AM,g
11-801,"Biscuits, plain, reduced fat",AM,g
11-802,Shortbread,AM,g
11-803,"Biscuits, digestive, with oats, plain",AM,g
11-804,"Biscuits, jam filled",AM,g
11-805,Fig Rolls,AM,g
11-806,"Biscuits, short or sweet, half coated in chocolate",AM,g
11-807,"Biscuits, digestive, half coated in chocolate",AM,g
11-808,"Biscuits, iced",AM,g
11-809,"Biscuits, fully coated with chocolate",AM,g
11-810,"Biscuits, fully coated with chocolate, with cream",AM,g
11-811,"Biscuits, fully coated with chocolate, with marshmallow",AM,g
11-812,Chocolate covered wafer biscuit,AM,g
11-813,"Biscuits, sandwich, cream",AM,g
11-814,"Flapjacks, retail",AM,g
11-815,"Biscuits, cookies, chocolate chip, standard",AM,g
11-816,"Biscuits, cookies, chocolate chip, American style",AM,g
11-818,"Cereal bars, with fruit and/or nuts, with chocolate, unfortified",AM,g
11-819,"Cereal bars, with fruit and/or nuts, no chocolate, unfortified",AM,g
11-820,Cream crackers,AM,g
11-821,"Biscuits, cheese flavoured",AM,g
11-822,"Crispbread, rye",AM,g
11-823,"Oatcakes, plain, retail",AM,g
11-824,"Cheese straws/twists, retail",AM,g
11-825,"Minibreads, toasted, retail",AM,g
11-826,"Breadsticks, plain",AM,g
11-827,"Scones, plain, retail",AN,g
11-828,"Iced buns, retail",AN,g
11-829,"Cake, fruit, retail",AN,g
11-830,"Cake, chocolate, with filling and icing, retail",AN,g
11-831,"Cake, sponge, with jam and butter cream, retail",AN,g
11-832,"Cake, sponge, soft iced, retail",AN,g
11-833,"Cake, loaf, retail",AN,g
11-834,"Cake, Swiss rolls, chocolate covered and filled, retail",AN,g
11-835,"Cake, battenberg, retail",AN,g
11-836,"Cake, carrot, iced, retail",AN,g
11-837,"Shortcake, caramel, chocolate covered, retail",AN,g
11-838,"Eccles cakes, retail",AN,g
11-839,"Cakes, fancy iced, individual, retail",AN,g
11-840,Cakes from 'healthy eating' ranges,AN,g
11-841,"Pastries, Danish, retail",AP,g
11-842,"Pastries, Greek, baklava, retail",AP,g
11-843,"Pastries, cream filled, retail",AP,g
11-844,"Pastries, chocolate eclairs, cream filled, retail",AP,g
11-845,"Tarts, bakewell, iced, retail",AS,g
11-846,"Jam tarts, retail",AS,g
11-847,"Pie, fruit, individual, retail",AS,g
11-848,"Mince pies, retail",AS,g
11-849,"Doughnuts, with jam",AP,g
11-850,"Doughnuts, ring, iced",AP,g
11-851,"Pastry, shortcrust, retail, uncooked",AO,g
11-852,"Pastry, flaky/puff, retail, uncooked",AO,g
11-853,"Pastry, shortcrust, retail, cooked",AO,g
11-854,"Pastry, flaky/puff, retail, cooked",AO,g
11-855,"Pastry, filo, retail, uncooked",AO,g
11-856,"Pastry, filo, retail, cooked",AO,g
11-857,"Rice, white, basmati, raw",AC,g
