"cofid_code","poore_product"
"11-016","Wheat & Rye (Bread)"
"11-021","Wheat & Rye (Bread)"
"11-1000","Onions & Leeks"
"11-1001","Wheat & Rye (Bread)"
"11-1003","Wheat & Rye (Bread)"
"11-1004","Wheat & Rye (Bread)"
"11-1006","Wheat & Rye (Bread)"
"11-1011","Fish (farmed)"
"11-1012","Poultry Meat"
"11-1013","Pig Meat"
"11-1024","Apples"
"11-1025","Apples"
"11-1026","Apples"
"11-1027","Apples"
"11-1029","Wheat & Rye (Bread)"
"11-1037","Wheat & Rye (Bread)"
"11-1038","Wheat & Rye (Bread)"
"11-1045","Wheat & Rye (Bread)"
"11-1055","Apples"
"11-1060","Oatmeal"
"11-1091","Milk"
"11-1096","Eggs"
"11-1102","Milk"
"11-1103","Milk"
"11-1106","Milk"
"11-1108","Milk"
"11-1112","Cheese"
"11-1113","Potatoes"
"11-1117","Wheat & Rye (Bread)"
"11-1125","Wheat & Rye (Bread)"
"11-1129","Wheat & Rye (Bread)"
"11-1135","Milk"
"11-1136","Wheat & Rye (Bread)"
"11-1137","Wheat & Rye (Bread)"
"11-1141","Milk"
"11-1142","Milk"
"11-1143","Milk"
"11-1144","Wheat & Rye (Bread)"
"11-1145","Wheat & Rye (Bread)"
"11-1146","Milk"
"11-444","Eggs"
"11-450","Wheat & Rye (Bread)"
"11-462","Wheat & Rye (Bread)"
"11-715","Eggs"
"11-716","Wheat & Rye (Bread)"
"11-717","Wheat & Rye (Bread)"
"11-718","Wheat & Rye (Bread)"
"11-719","Eggs"
"11-720","Wheat & Rye (Bread)"
"11-721","Wheat & Rye (Bread)"
"11-722","Wheat & Rye (Bread)"
"11-723","Wheat & Rye (Bread)"
"11-724","Eggs"
"11-726","Eggs"
"11-727","Eggs"
"11-728","Cheese"
"11-729","Cheese"
"11-730","Eggs"
"11-731","Cheese"
"11-732","Eggs"
"11-734","Wheat & Rye (Bread)"
"11-735","Wheat & Rye (Bread)"
"11-736","Wheat & Rye (Bread)"
"11-756","Wheat & Rye (Bread)"
"11-757","Wheat & Rye (Bread)"
"11-761","Wheat & Rye (Bread)"
"11-762","Wheat & Rye (Bread)"
"11-773","Wheat & Rye (Bread)"
"11-774","Wheat & Rye (Bread)"
"11-775","Wheat & Rye (Bread)"
"11-777","Wheat & Rye (Bread)"
"11-778","Wheat & Rye (Bread)"
"11-781","Cane Sugar"
"11-789","Milk"
"11-792","Oatmeal"
"11-793","Milk"
"11-795","Milk"
"11-821","Cheese"
"11-824","Cheese"
"11-880","Bovine Meat (beef herd)"
"11-881","Bovine Meat (beef herd)"
"11-885","Eggs"
"11-886","Wheat & Rye (Bread)"
"11-887","Wheat & Rye (Bread)"
"11-888","Wheat & Rye (Bread)"
"11-889","Wheat & Rye (Bread)"
"11-890","Wheat & Rye (Bread)"
