ext_recipe_id,ingredient_pos,ingredient_text_norm,quantity,unit,ingredient_core
1,1,3/4 cup ketchup,0.75,cup,ketchup
1,2,1/2 cup beer,0.5,cup,beer
1,3,1 tablespoon worcestershire sauce,1.0,tbsp,worcestershire sauce
1,4,1/2 teaspoon onion powder,0.5,tsp,onion powder
1,5,1/4 teaspoon cayenne,0.25,tsp,cayenne
1,6,2 baking potatoes,2.0,,baking potatoes
1,7,olive oil cooking spray,,,olive oil cooking spray
1,8,1/2 teaspoon garlic powder,0.5,tsp,garlic powder
1,9,salt and freshly ground black pepper,,,salt and freshly ground black pepper
2,1,1 pound pork belly,1.0,lb,pork belly
2,2,1/4 cup gochujang,0.25,cup,gochujang
2,3,2 tablespoons soy sauce,2.0,tbsp,soy sauce
2,4,"1 tablespoon honey,",1.0,tbsp,honey
2,5,1 teaspoon ground ginger,1.0,tsp,ground ginger
3,1,1 ¼ pounds chicken tenders,1.25,lb,chicken tenders
3,2,1 tablespoon olive oil,1.0,tbsp,olive oil
3,3,1/3 cup everything bagel seasoning or to taste,0.3333333333333333,cup,everything bagel seasoning or
4,1,4 chicken cutlets (about 1 pound total),4.0,,chicken cutlets
4,2,salt and freshly ground black pepper to taste,,,salt and freshly ground black pepper
4,3,3/4 cup all-purpose flour,0.75,cup,all-purpose flour
4,4,2 large eggs,2.0,,large eggs
4,5,2 tablespoons milk,2.0,tbsp,milk
4,6,3 ablespoons verything bagel seasoning,3.0,,ablespoons verything bagel seasoning
4,7,1 1/2 cups panko breadcrumbs,1.5,cup,panko breadcrumbs
4,8,olive oil cooking spray,,,olive oil cooking spray
4,9,parchment,,,parchment
5,1,1 tablespoon soy sauce,1.0,tbsp,soy sauce
5,2,1 tablespoon honey,1.0,tbsp,honey
5,3,1 tablespoon sriracha,1.0,tbsp,sriracha
5,4,1 teaspoon rice vinegar,1.0,tsp,rice vinegar
5,5,1/4 teaspoon granulated garlic,0.25,tsp,granulated garlic
6,1,¼ cup mayonnaise,0.25,cup,mayonnaise
6,2,2 teaspoons crumbled cotija cheese,2.0,tsp,crumbled cotija cheese
6,3,1 teaspoon lime juice,1.0,tsp,lime juice
6,4,¼ teaspoon chili powder,0.25,tsp,chili powder
6,5,"2 ears corn, shucked and halved",2.0,,"ears corn, shucked and halved"
6,6,"4 sprigs fresh cilantro, or to taste (optional)",4.0,,"sprigs fresh cilantro, or"
7,1,2 tablespoons thai sweet chili sauce,2.0,tbsp,thai sweet chili sauce
7,2,1 tablespoon soy sauce,1.0,tbsp,soy sauce
7,3,1 tablespoon sriracha,1.0,tbsp,sriracha
7,4,"1 lime, zested and juiced",1.0,,"lime, zested and juiced"
7,5,1 teaspoon granulated garlic,1.0,tsp,granulated garlic
7,6,1 tablespoon fresh ginger,1.0,tbsp,fresh ginger
7,7,1/3 cup creamy peanut butter,0.3333333333333333,cup,creamy peanut butter
7,8,salt to taste,,,salt
7,9,"6 skinless, boneless chicken thighs",6.0,,"skinless, boneless chicken thighs"
7,10,cooking spray,,,cooking spray
7,11,"2 cups cooked rice, or as needed",2.0,cup,"cooked rice, or as needed"
7,12,chopped cilantro,,,chopped cilantro
7,13,dry-roasted peanuts,,,dry-roasted peanuts
8,1,1/4 cup all-purpose flour,0.25,cup,all-purpose flour
8,2,1/2 teaspoon cayenne pepper,0.5,tsp,cayenne pepper
8,3,"1/4 teaspoon salt, or to taste",0.25,tsp,"salt, or"
8,4,1 onion,1.0,,onion
8,5,cooking spray,,,cooking spray
9,1,nonstick cooking spray,,,nonstick cooking spray
9,2,"2 tablespoons butter,",2.0,tbsp,butter
9,3,"3 tablespoons hot honey, such as mike's hot honey®",3.0,tbsp,"hot honey, such as mike's hot honey®"
9,4,1 pound baby carrots,1.0,lb,baby carrots
10,1,1 large onion,1.0,,large onion
10,2,1 1/2 teaspoons olive oil,1.5,tsp,olive oil
10,3,salt and freshly ground black pepper,,,salt and freshly ground black pepper
11,1,1 (8 ounce) box manicotti pasta,1.0,,box manicotti pasta
11,2,1 pound ground beef,1.0,lb,ground beef
11,3,1 packet taco seasoning,1.0,,packet taco seasoning
11,4,4 ounces green chiles,4.0,oz,green chiles
11,5,"1 10 ounce) can tomatoes with green chiles, such as ro*tel®, drained",1.0,,"10 ounce) can tomatoes with green chiles, such as ro*tel®, drained"
